id,occurred_at,city,latitude,longitude,depth,magnitude,gasfield_id,created_at,updated_at,knmi_guid,region,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
388,2005-03-01 16:31:00,Delfzijl,53.326,6.922,3.0,1.2,1.0,,,,Delfzijl,47.0,47.0,48.0,49.0,77.0,77.0,78.0,78.0,116.0,118.0,133.0,144.0,148.0,148.0,145.0,142.0,138.0,131.0,124.0,121.0,121.0,126.0,131.0,138.0,,,,
392,2005-03-21 23:21:00,Buren,53.457,5.85,3.0,1.8,,,,,Buren,94.0,94.0,104.0,103.0,179.0,177.0,178.0,178.0,272.0,273.0,291.0,319.0,331.0,332.0,324.0,318.0,298.0,278.0,274.0,270.0,276.0,284.0,307.0,327.0,345.0,380.0,416.0,444.0
396,2005-04-22 00:14:00,Appingedam,53.334,6.858,3.0,0.8,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
409,2005-10-12 16:06:00,Smilde,52.963,6.45,3.0,2.5,,,,,Smilde,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,2006-01-20 20:22:00,Loppersum,53.336,6.74,3.0,1.3,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
429,2006-04-05 01:41:00,Delfzijl,53.344,6.89,3.0,1.4,1.0,,,,Delfzijl,47.0,47.0,48.0,49.0,77.0,77.0,78.0,78.0,116.0,118.0,133.0,144.0,148.0,148.0,145.0,142.0,138.0,131.0,124.0,121.0,121.0,126.0,131.0,138.0,,,,
435,2006-04-22 03:41:00,Loppersum,53.325,6.752,3.0,1.5,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
437,2006-04-23 01:18:00,Delfzijl,53.338,6.883,3.0,0.9,1.0,,,,Delfzijl,47.0,47.0,48.0,49.0,77.0,77.0,78.0,78.0,116.0,118.0,133.0,144.0,148.0,148.0,145.0,142.0,138.0,131.0,124.0,121.0,121.0,126.0,131.0,138.0,,,,
447,2006-06-17 13:16:00,Appingedam,53.33,6.852,3.0,1.4,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
451,2006-07-12 22:56:00,Appingedam,53.309,6.868,3.0,1.3,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
452,2006-07-16 08:10:00,Appingedam,53.303,6.867,3.0,1.5,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
460,2006-10-15 20:18:00,Emmen,52.767,6.885,3.0,1.6,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
462,2006-10-25 09:45:00,Delfzijl,53.325,6.923,3.0,1.4,1.0,,,,Delfzijl,47.0,47.0,48.0,49.0,77.0,77.0,78.0,78.0,116.0,118.0,133.0,144.0,148.0,148.0,145.0,142.0,138.0,131.0,124.0,121.0,121.0,126.0,131.0,138.0,,,,
468,2007-01-10 18:36:00,Appingedam,53.34,6.883,3.0,1.5,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
490,2007-07-02 20:57:00,Emmen,52.767,6.875,3.0,1.4,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
496,2007-10-27 01:57:00,Loppersum,53.333,6.748,3.0,2.0,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
505,2008-02-17 16:35:00,Zuidlaren,53.082,6.682,3.0,1.8,,,,,Zuidlaren,94.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
508,2008-03-29 16:57:00,Appingedam,53.292,6.842,3.0,1.4,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
519,2008-05-10 23:20:00,Loppersum,53.327,6.728,3.0,1.2,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
521,2008-05-19 15:07:00,Loppersum,53.325,6.74,3.0,1.9,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
527,2008-06-23 13:52:00,Veendam,53.109,6.855,3.0,1.1,,,,,Veendam,61.0,62.0,62.0,63.0,87.0,88.0,89.0,90.0,134.0,135.0,144.0,154.0,158.0,158.0,157.0,155.0,149.0,142.0,141.0,141.0,139.0,140.0,146.0,154.0,164.0,180.0,213.0,226.0
530,2008-08-05 02:35:00,Emmen,52.761,6.908,3.0,2.0,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
531,2008-08-23 19:49:00,Loppersum,53.33,6.725,3.0,0.9,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
540,2008-10-29 16:36:00,Loppersum,53.33,6.71,3.0,1.4,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
541,2008-10-30 05:54:00,Loppersum,53.337,6.72,3.0,3.2,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
548,2008-12-24 03:27:00,Vries,53.065,6.582,3.0,1.2,,,,,Vries,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,2009-01-01 08:34:00,Zuidlaren,53.095,6.718,3.0,1.5,,,,,Zuidlaren,94.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
550,2009-01-01 09:35:00,Delfzijl,53.33,6.902,3.0,1.2,1.0,,,,Delfzijl,47.0,47.0,48.0,49.0,77.0,77.0,78.0,78.0,116.0,118.0,133.0,144.0,148.0,148.0,145.0,142.0,138.0,131.0,124.0,121.0,121.0,126.0,131.0,138.0,,,,
554,2009-01-15 12:41:00,Appingedam,53.339,6.872,3.0,1.0,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
557,2009-02-03 06:53:00,Appingedam,53.315,6.875,3.0,1.2,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
559,2009-02-05 11:56:00,Delfzijl,53.328,6.923,3.0,1.1,1.0,,,,Delfzijl,47.0,47.0,48.0,49.0,77.0,77.0,78.0,78.0,116.0,118.0,133.0,144.0,148.0,148.0,145.0,142.0,138.0,131.0,124.0,121.0,121.0,126.0,131.0,138.0,,,,
