id,occurred_at,city,latitude,longitude,depth,magnitude,gasfield_id,year,magnitude_category
189,1999-03-17 23:14:00,Roswinkel,52.832,7.052,2.0,1.5,,1999,1
190,1999-04-21 10:59:00,Appingedam,53.312,6.84,3.0,1.4,1.0,1999,1
191,1999-04-22 22:58:00,Ureterp,53.111,6.152,3.0,1.0,,1999,1
192,1999-05-06 18:13:00,Roswinkel,52.836,7.055,2.0,1.4,,1999,1
193,1999-05-08 20:40:00,Stedum,53.325,6.7,3.0,1.6,1.0,1999,1
194,1999-05-14 18:30:00,Roswinkel,52.834,7.052,2.0,1.7,,1999,1
195,1999-05-15 19:28:00,Roswinkel,52.834,7.052,2.0,1.4,,1999,1
196,1999-05-21 00:09:00,Sappemeer,53.164,6.815,3.0,0.7,1.0,1999,0
197,1999-06-07 20:20:00,Steenbergen,53.097,6.402,3.0,1.1,,1999,1
198,1999-07-07 09:03:00,Grolloo,52.95,6.627,3.0,1.3,,1999,1
199,1999-08-10 23:24:00,Startenhuizen,53.382,6.727,3.0,1.4,1.0,1999,1
200,1999-08-11 01:18:00,Westeremden,53.346,6.702,3.0,0.7,1.0,1999,0
201,1999-09-07 17:16:00,Nieuw Annerveen,53.068,6.795,3.0,1.5,,1999,1
202,1999-09-07 19:47:00,Eexterveen,53.057,6.813,3.0,0.5,,1999,0
203,1999-10-18 18:56:00,Zuidlaren,53.078,6.718,3.0,0.4,,1999,0
204,1999-10-18 18:57:00,Schipborg,53.06,6.678,3.0,0.3,,1999,0
205,1999-10-22 13:19:00,Ekehaar,52.941,6.592,3.0,1.7,,1999,1
206,1999-12-08 05:39:00,Sappemeer,53.179,6.802,3.0,0.3,1.0,1999,0
207,1999-12-09 09:38:00,Schildwolde,53.246,6.803,3.0,1.1,1.0,1999,1
208,1999-12-09 09:52:00,Froombosch,53.183,6.798,3.0,1.0,1.0,1999,1
209,1999-12-10 06:13:00,Sappemeer,53.175,6.792,3.0,1.4,1.0,1999,1
210,1999-12-20 12:29:00,Westeremden,53.352,6.71,3.0,1.5,1.0,1999,1
211,1999-12-21 04:52:00,Froombosch,53.19,6.765,3.0,1.0,1.0,1999,1
212,1999-12-24 23:52:00,Farmsum,53.32,6.947,3.0,1.8,1.0,1999,1
213,1999-12-31 11:00:00,Roswinkel,52.835,7.048,2.0,2.8,,1999,2
214,2000-01-07 14:19:00,Roswinkel,52.834,7.043,2.0,1.1,,2000,1
215,2000-01-10 04:18:00,Schipborg,53.077,6.655,3.0,0.6,,2000,0
216,2000-02-12 19:48:00,Appingedam,53.321,6.822,3.5,1.7,1.0,2000,1
217,2000-03-19 16:13:00,Westeremden,53.343,6.698,3.0,1.6,1.0,2000,1
218,2000-03-27 10:23:00,Roswinkel,52.835,7.045,2.0,0.8,,2000,0
219,2000-04-01 03:13:00,Dalen,52.685,6.75,3.0,1.3,,2000,1
220,2000-04-08 11:07:00,Groningen,53.205,6.632,3.0,1.2,1.0,2000,1
221,2000-04-08 21:13:00,Losdorp,53.37,6.845,3.0,1.1,1.0,2000,1
222,2000-04-14 23:07:00,Garrelsweer,53.308,6.772,3.0,1.2,1.0,2000,1
223,2000-05-16 01:11:00,Eppenhuizen,53.38,6.71,3.0,1.9,1.0,2000,1
224,2000-06-09 17:03:00,Wildervank,53.087,6.813,3.0,1.1,,2000,1
225,2000-06-11 04:12:00,Zeerijp,53.348,6.763,3.0,2.0,1.0,2000,2
226,2000-06-12 15:48:00,Loppersum,53.34,6.742,3.0,2.5,1.0,2000,2
227,2000-06-15 01:42:00,Steendam,53.28,6.847,3.0,2.5,1.0,2000,2
228,2000-07-06 23:09:00,Zeerijp,53.34,6.752,3.0,1.2,1.0,2000,1
229,2000-07-10 15:05:00,Vries,53.064,6.575,3.0,1.0,,2000,1
230,2000-07-13 08:41:00,Vries,53.079,6.565,3.0,1.1,,2000,1
231,2000-07-16 01:34:00,'t Zandt,53.367,6.782,3.0,1.5,1.0,2000,1
232,2000-09-22 17:05:00,Wildervank,53.076,6.82,3.0,1.0,,2000,1
233,2000-09-22 20:52:00,Nieuw Annerveen,53.082,6.793,3.0,2.2,,2000,2
234,2000-09-23 03:47:00,Nieuw Annerveen,53.081,6.788,2.7,1.0,,2000,1
235,2000-10-25 18:10:00,Roswinkel,52.832,7.052,2.3,3.2,,2000,3
236,2000-11-12 02:16:00,Deurze,52.977,6.608,3.0,0.3,,2000,0
237,2000-11-29 16:06:00,Laar (Duitsland),52.626,6.742,3.0,1.6,,2000,1
238,2000-12-23 05:20:00,Borgercompagnie,53.108,6.812,3.0,0.4,,2000,0
239,2000-12-26 16:33:00,Meedhuizen,53.294,6.91,3.0,1.4,1.0,2000,1
240,2001-02-26 11:39:00,Wildervank,53.072,6.822,3.0,0.8,,2001,0
241,2001-03-18 04:14:00,Lageland,53.243,6.692,3.0,1.6,1.0,2001,1
242,2001-04-28 10:00:00,Geelbroek,52.948,6.567,3.0,1.5,,2001,1
243,2001-04-28 10:00:00,Eleveld,52.959,6.575,3.0,1.1,,2001,1
244,2001-04-28 23:00:00,Roswinkel,52.833,7.053,2.0,2.4,,2001,2
245,2001-05-17 07:48:00,Haren,53.173,6.612,3.0,1.4,,2001,1
246,2001-06-10 03:35:00,Annen,53.049,6.753,3.0,0.5,,2001,0
247,2001-06-19 06:49:00,Wildervank,53.079,6.82,3.0,1.0,,2001,1
